GEO.display-label,HC01_EST_VC01,HC03_EST_VC01,HC05_EST_VC01
Geography,Total; Estimate; Total population,Male; Estimate; Total population,Female; Estimate; Total population
ZCTA5 00601,17599,8809,8790
ZCTA5 00602,39209,19231,19978
ZCTA5 00603,50135,24497,25638
ZCTA5 00606,6304,3148,3156
ZCTA5 00610,27590,13332,14258
ZCTA5 00612,62566,29810,32756
ZCTA5 00616,10687,4982,5705
ZCTA5 00617,24508,11642,12866
ZCTA5 00622,7405,3309,4096
ZCTA5 00623,42321,20288,22033
ZCTA5 00624,23238,11348,11890
ZCTA5 00627,32936,15792,17144
ZCTA5 00631,1555,798,757
ZCTA5 00637,23610,11156,12454
ZCTA5 00638,17202,8312,8890
ZCTA5 00641,28332,13798,14534
ZCTA5 00646,38008,18127,19881
ZCTA5 00647,5610,2698,2912
ZCTA5 00650,14664,7150,7514
ZCTA5 00652,3681,1669,2012
ZCTA5 00653,11717,5648,6069
ZCTA5 00656,19546,9355,10191
ZCTA5 00659,40978,19706,21272
ZCTA5 00660,16474,7618,8856
ZCTA5 00662,41341,20103,21238
ZCTA5 00664,15396,7750,7646
ZCTA5 00667,24089,11564,12525
ZCTA5 00669,26510,13041,13469
ZCTA5 00670,8797,4340,4457
ZCTA5 00674,40826,19400,21426
ZCTA5 00676,37862,18463,19399
ZCTA5 00677,14569,7123,7446
ZCTA5 00678,26642,12791,13851
ZCTA5 00680,48035,23025,25010
ZCTA5 00682,32820,15655,17165
ZCTA5 00683,31627,15345,16282
ZCTA5 00685,38849,18986,19863
ZCTA5 00687,31785,15775,16010
ZCTA5 00688,12360,6403,5957
ZCTA5 00690,5587,2625,2962
ZCTA5 00692,36218,17230,18988
ZCTA5 00693,56327,26984,29343
ZCTA5 00694,88,45,43
ZCTA5 00698,37493,17982,19511
ZCTA5 00703,27137,13222,13915
ZCTA5 00704,7842,3853,3989
ZCTA5 00705,23831,11472,12359
ZCTA5 00707,11240,5521,5719
ZCTA5 00714,18363,8515,9848
ZCTA5 00715,3645,1783,1862
ZCTA5 00716,29191,13839,15352
ZCTA5 00717,17285,7618,9667
ZCTA5 00718,26073,12339,13734
ZCTA5 00719,29684,14548,15136
ZCTA5 00720,21753,10854,10899
ZCTA5 00723,17826,8748,9078
ZCTA5 00725,82822,38386,44436
ZCTA5 00727,56023,26434,29589
ZCTA5 00728,40326,20197,20129
ZCTA5 00729,52244,24985,27259
ZCTA5 00730,32735,15833,16902
ZCTA5 00731,13862,6659,7203
ZCTA5 00735,12749,5929,6820
ZCTA5 00736,48476,23551,24925
ZCTA5 00738,31558,14773,16785
ZCTA5 00739,37380,17896,19484
ZCTA5 00740,1517,697,820
ZCTA5 00741,5168,2353,2815
ZCTA5 00745,52624,25564,27060
ZCTA5 00751,22174,10577,11597
ZCTA5 00754,38636,18857,19779
ZCTA5 00757,22475,10855,11620
ZCTA5 00765,8721,4217,4504
ZCTA5 00766,23931,11681,12250
ZCTA5 00767,35042,16992,18050
ZCTA5 00769,39605,19251,20354
ZCTA5 00771,37705,18173,19532
ZCTA5 00772,20784,9825,10959
ZCTA5 00773,18952,8893,10059
ZCTA5 00775,1480,808,672
ZCTA5 00777,40611,19255,21356
ZCTA5 00778,46852,22248,24604
ZCTA5 00780,11679,5634,6045
ZCTA5 00782,18196,9093,9103
ZCTA5 00783,34240,16670,17570
ZCTA5 00784,41417,20503,20914
ZCTA5 00786,249,112,137
ZCTA5 00791,49551,23531,26020
ZCTA5 00794,29296,14411,14885
ZCTA5 00795,45573,21748,23825
ZCTA5 00901,6540,3566,2974
ZCTA5 00906,91,62,29
ZCTA5 00907,16819,8210,8609
ZCTA5 00909,5430,2461,2969
ZCTA5 00911,7617,3533,4084
ZCTA5 00912,5920,2694,3226
ZCTA5 00913,8495,3549,4946
ZCTA5 00915,27534,13085,14449
ZCTA5 00917,18316,8620,9696
ZCTA5 00918,16595,7526,9069
ZCTA5 00920,16698,7469,9229
ZCTA5 00921,35161,15691,19470
