,index,name,zipcode,lat,long,Geography,Median income (dollars); Estimate; Households
215,408,WORLD TRADE CENTER, 10007,40.71256392680817,-74.00974461517701,ZCTA5 10007,242644.0
217,147,METROPOLITAN AV STATION, 11211,40.71277400073426,-73.9514239994525,ZCTA5 10007,242644.0
225,360,CHAMBERS STREET STATION, 10007,40.71411100077402,-74.00858473570133,ZCTA5 10007,242644.0
224,71,METROPOLITAN AV STATION, 11211,40.71407200064717,-73.95024799996972,ZCTA5 10007,242644.0
223,63,UNION TURNPIKE - KEW GARDENS STATION, 11415,40.71403481957103,-73.8303702709878,ZCTA5 10007,242644.0
221,415,CITY HALL, 10007,40.71327233111697,-74.00698581780337,ZCTA5 10007,242644.0
218,402,WORLD TRADE CENTER, 10007,40.713050999077694,-74.00881099997359,ZCTA5 10007,242644.0
216,278,JAMAICA-179 ST, 11432,40.712645666744045,-73.78381700176453,ZCTA5 10007,242644.0
193,305,MORGAN AVENUE SUBWAY STATION, 11237,40.70615166680729,-73.93314700024209,ZCTA5 10005,154213.0
191,245,SUTPHIN BLVD, 11435,40.70541799906764,-73.81083299897232,ZCTA5 10005,154213.0
192,70,BROADWAY, 11206,40.70612657627417,-73.95031225606621,ZCTA5 10005,154213.0
194,422,FRESH POND ROAD STATION, 11385,40.70622599823048,-73.89589800171959,ZCTA5 10005,154213.0
195,427,BROAD ST, 10005,40.70647600110601,-74.01105599991755,ZCTA5 10005,154213.0
212,423,MIDDLE VILLAGE - METROPOLITAN AV, 11381,40.71143130505826,-73.8895772297809,ZCTA5 10006,145893.0
214,425,CORTLANDT STREET STATION, 10006,40.7118350008202,-74.01218800112292,ZCTA5 10006,145893.0
210,428,CORTLANDT STREET STATION, 10006,40.710512984152395,-74.01113196473266,ZCTA5 10006,145893.0
213,148,GRAHAM AV, 11211,40.71157600064823,-73.94049699874644,ZCTA5 10006,145893.0
209,426,CORTLANDT STREET STATION, 10006,40.71036799882213,-74.00950899856461,ZCTA5 10006,145893.0
198,139,HEWES ST, 11211,40.706889998054,-73.95348800038455,ZCTA5 10006,145893.0
199,151,MONTROSE AVENUE STATION, 11206,40.707391064384545,-73.93979284713505,ZCTA5 10006,145893.0
200,424,RECTOR ST, 10006,40.707512999521775,-74.01378300119742,ZCTA5 10006,145893.0
201,419,WALL STREET STATION, 10006,40.70755700086603,-74.01186199860112,ZCTA5 10006,145893.0
202,186,PARSONS BLVD, 11432,40.707571999615695,-73.80328900021884,ZCTA5 10006,145893.0
203,421,RECTOR ST, 10006,40.707744756294474,-74.01297456253796,ZCTA5 10006,145893.0
211,187,169 STREET STATION, 11432,40.710517502784,-73.7934741992772,ZCTA5 10006,145893.0
139,82,111 ST, 11419,40.684331000012385,-73.83216299845388,ZCTA5 10004,140450.0
131,446,FRANKLIN AV STATION, 11238,40.68137966658742,-73.95684800014614,ZCTA5 10004,140450.0
132,12,NORWOOD AVENUE STATION, 11208,40.68152000045683,-73.87962599910783,ZCTA5 10004,140450.0
133,97,104 ST-OXFORD AV STATION, 11417,40.6817110010912,-73.83768300060997,ZCTA5 10004,140450.0
134,34,CHAUNCEY ST, 11207,40.68285130087804,-73.91038357033376,ZCTA5 10004,140450.0
135,281,BUSHWICK AV-ABERDEEN ST, 11207,40.68286062551184,-73.90526176305106,ZCTA5 10004,140450.0
136,226,CRESCENT ST, 11208,40.68315265707736,-73.87392925215778,ZCTA5 10004,140450.0
137,447,CLINTON - WASHINGTON AVE, 11238,40.68326299912644,-73.96583799857275,ZCTA5 10004,140450.0
138,121,ATLANTIC AVENUE BARCLAYS CENTER STATION, 11217,40.68366566727944,-73.97880999956767,ZCTA5 10004,140450.0
145,74,HALSEY STREET STATION, 11221,40.68641527070434,-73.91663888421941,ZCTA5 10004,140450.0
140,115,ATLANTIC AVENUE BARCLAYS CENTER STATION, 11217,40.68442016526762,-73.97754993539385,ZCTA5 10004,140450.0
141,120,ATLANTIC AVENUE BARCLAYS CENTER STATION, 11217,40.684488323453685,-73.97678343963167,ZCTA5 10004,140450.0
142,195,LEFFERTS BLVD STATION, 11419,40.68595099878361,-73.82579799906613,ZCTA5 10004,140450.0
143,375,BERGEN ST STATION, 11201,40.68611054725977,-73.99075649573565,ZCTA5 10004,140450.0
144,453,LAFAYETTE AVENUE STATION C, 11217,40.68611300020567,-73.97394599849406,ZCTA5 10004,140450.0
